,Film,Year,Award,Nomination
329,Pearl Harbor,2001,1,4
330,Iris,2001,1,3
331,Shrek,2001,1,2
332,Training Day,2001,1,2
333,Monster's Ball,2001,1,2
334,Thoth,2001,1,1
335,For the Birds,2001,1,1
336,No Man's Land,2001,1,1
337,Murder on a Sunday Morning,2001,1,1
338,The Accountant,2001,1,1
339,Gladiator,2000,5,12
340,"Crouching Tiger, Hidden Dragon",2000,4,10
341,Traffic,2000,4,5
342,Erin Brockovich,2000,1,5
343,Almost Famous,2000,1,4
344,Wonder Boys,2000,1,3
345,How the Grinch Stole Christmas,2000,1,3
346,U-571,2000,1,2
347,Pollock,2000,1,2
348,Father and Daughter,2000,1,1
349,Into the Arms of Strangers: Stories of the Kindertransport,2000,1,1
350,Quiero ser (I want to be...),2000,1,1
351,Big Mama,2000,1,1
352,American Beauty,1999,5,8
353,The Matrix,1999,4,4
354,The Cider House Rules,1999,2,7
355,Topsy-Turvy,1999,2,4
356,Sleepy Hollow,1999,1,3
357,Boys Don't Cry,1999,1,2
358,Tarzan,1999,1,1
359,One Day in September,1999,1,1
360,The Red Violin,1999,1,1
361,The Old Man and the Sea,1999,1,1
362,My Mother Dreams the Satan's Disciples in New York,1999,1,1
363,King Gimp,1999,1,1
364,"Girl, Interrupted",1999,1,1
365,All About My Mother,1999,1,1
366,Shakespeare in Love,1998,7,13
367,Saving Private Ryan,1998,5,11
368,Life Is Beautiful,1998,3,7
369,Elizabeth,1998,1,7
370,Gods and Monsters,1998,1,3
371,The Prince of Egypt,1998,1,2
372,Affliction,1998,1,2
373,What Dreams May Come,1998,1,2
374,The Personals,1998,1,1
375,The Last Days,1998,1,1
376,Election Night,1998,1,1
377,Bunny,1998,1,1
378,Titanic,1997,11,14
379,Good Will Hunting,1997,2,9
380,L.A. Confidential,1997,2,9
381,As Good as It Gets,1997,2,7
382,The Full Monty,1997,1,4
383,Men in Black,1997,1,3
384,Visas and Virtue,1997,1,1
385,Character,1997,1,1
386,Geri's Game,1997,1,1
387,A Story of Healing,1997,1,1
